Height,Weight
2.01,102
2,95
1.81,85
1.97,107
2.04,106
2.04,108
1.98,91
2.09,105
2,84
1.93,88
1.96,96
2.08,109
2.07,122
2.07,115
2.08,107
2.06,118
1.92,90
1.92,93
1.86,90
2.1,102
2.03,98
1.73,70
2.04,91
1.77,70
1.88,89
1.91,78
1.65,60
1.96,86
1.91,89
1.94,76
1.83,85
1.85,72
1.86,77
2.01,93
1.86,87
1.72,68
1.7,64
1.92,82
1.88,78
1.73,65
1.89,74
1.89,84
1.84,75
1.8,67
1.88,78
1.71,69
1.95,86
1.8,69
1.7,65
1.92,102
2.06,118
1.83,89
2.08,125
1.9,80
1.97,92
2.04,100
1.79,76
1.81,69
1.68,65
1.92,92
1.94,97
1.91,90
2.07,104
1.94,88
2.11,113
1.74,76
2.08,120
1.88,95
1.92,82
1.71,69
1.81,69
1.9,88
1.9,89
1.82,68
1.85,72
1.85,75
1.72,63
1.9,82
1.9,72
1.9,86
1.87,75
1.7,57
1.75,70
1.85,79
1.92,85
1.82,75
1.96,110
1.95,98
2.13,113
1.85,80
1.95,83
1.9,84
2.18,115
1.95,94
2.06,102
2.17,95
1.93,96
1.78,62
1.9,82
1.9,85
1.84,75
1.88,78
2.04,100
1.82,68
2,91
2.03,107
2.14,100
1.68,57
2,103
2.07,110
2.11,120
1.99,93
1.97,100
2.02,94
2.03,100
2.07,105
2.13,121
1.86,85
1.95,88
2.03,105
1.91,68
1.98,93
1.76,60
1.95,68
2.04,109
1.91,90
1.93,82
1.81,69
1.91,78
1.9,90
1.85,74
1.8,72
1.77,62
1.96,93
1.8,71
2.08,100
2.15,115
1.93,82
1.96,84
1.9,91
1.91,80
1.67,64
2.06,107
2.1,115
1.93,86
2.03,115
1.97,104
1.88,87
2.01,103
1.77,70
1.97,89
1.9,104
2.09,115
2.11,105
1.87,78
1.9,84
1.77,61
2.01,90
1.96,90
2.03,105
1.64,53
2.15,113
1.93,83
1.8,65
1.88,83
1.86,80
1.84,72
1.89,85
1.65,62
1.73,62
1.83,78
1.76,68
1.77,73
1.65,62
1.91,85
1.61,57
1.75,65
1.85,74
1.82,70
1.94,90
2.08,114
2.08,109
1.98,103
2.11,120
1.94,90
1.98,92
2.04,100
2.05,105
1.96,83
2.1,117
2.1,102
2.04,107
1.91,92
1.98,90
1.96,97
2.1,100
2.04,115
1.89,83
2.01,90
1.87,88
2.08,102
1.93,95
1.85,75
1.83,75
1.67,58
1.7,70
1.67,60
1.79,78
1.98,90
1.85,82
1.9,80
1.89,86
1.79,68
1.87,76
1.83,70
1.97,99
1.75,65
1.88,77
1.95,73
1.9,84
2.03,96
2.05,107
1.73,63
1.95,90
2.13,130
1.91,90
1.79,72
2.09,115
2.02,102
1.93,83
1.78,72
1.89,75
2.1,104
1.96,94
1.99,96
1.7,60
2.11,112
1.75,69
1.9,76
1.75,60
1.98,100
1.72,62
1.91,77
1.92,85
1.82,60
1.8,69
1.82,80
1.89,86
1.88,85
1.85,70
1.93,79
2.03,94
2.03,109
2.11,120
2.01,99
2.1,122
1.82,70
2,104
1.95,86
2.03,102
2.01,99
2.05,104
2,97
1.83,93
1.9,87
1.75,72
1.83,79
2.03,99
1.83,74
1.75,66
1.98,90
1.85,77
1.93,88
2.05,93
1.83,79
2.06,137
1.82,90
1.83,79
1.96,95
1.96,109
2.06,118
2.02,104
2.03,110
2.05,110
